company_name,industry,symbol,Series,isin,index_code,scrape_date
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,NIFTY100,2026-02-03
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,NIFTY100,2026-02-03
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,NIFTY100,2026-02-03
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,NIFTY100,2026-02-03
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,NIFTY100,2026-02-03
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,NIFTY100,2026-02-03
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,NIFTY100,2026-02-03
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,NIFTY100,2026-02-03
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NIFTY100,2026-02-03
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,NIFTY100,2026-02-03
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,NIFTY100,2026-02-03
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,NIFTY100,2026-02-03
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,NIFTY100,2026-02-03
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,NIFTY100,2026-02-03
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,NIFTY100,2026-02-03
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,NIFTY100,2026-02-03
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,NIFTY100,2026-02-03
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,NIFTY100,2026-02-03
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,NIFTY100,2026-02-03
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,NIFTY100,2026-02-03
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,NIFTY100,2026-02-03
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,NIFTY100,2026-02-03
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,NIFTY100,2026-02-03
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,NIFTY100,2026-02-03
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,NIFTY100,2026-02-03
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,NIFTY100,2026-02-03
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,NIFTY100,2026-02-03
DLF Ltd.,Realty,DLF,EQ,INE271C01023,NIFTY100,2026-02-03
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,NIFTY100,2026-02-03
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,NIFTY100,2026-02-03
Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR,EQ,DUM030A01027,NIFTY100,2026-02-03
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,NIFTY100,2026-02-03
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,NIFTY100,2026-02-03
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,NIFTY100,2026-02-03
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,NIFTY100,2026-02-03
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,NIFTY100,2026-02-03
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,NIFTY100,2026-02-03
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,NIFTY100,2026-02-03
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,NIFTY100,2026-02-03
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,NIFTY100,2026-02-03
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,NIFTY100,2026-02-03
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,NIFTY100,2026-02-03
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,NIFTY100,2026-02-03
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,NIFTY100,2026-02-03
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,NIFTY100,2026-02-03
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,NIFTY100,2026-02-03
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,NIFTY100,2026-02-03
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,NIFTY100,2026-02-03
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,NIFTY100,2026-02-03
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,NIFTY100,2026-02-03
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,NIFTY100,2026-02-03
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,NIFTY100,2026-02-03
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,NIFTY100,2026-02-03
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,NIFTY100,2026-02-03
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,NIFTY100,2026-02-03
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,NIFTY100,2026-02-03
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,NIFTY100,2026-02-03
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,NIFTY100,2026-02-03
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,NIFTY100,2026-02-03
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,NIFTY100,2026-02-03
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,NIFTY100,2026-02-03
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,NIFTY100,2026-02-03
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,NIFTY100,2026-02-03
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,NIFTY100,2026-02-03
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,NIFTY100,2026-02-03
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,NIFTY100,2026-02-03
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,NIFTY100,2026-02-03
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NIFTY100,2026-02-03
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NIFTY100,2026-02-03
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,NIFTY100,2026-02-03
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,NIFTY100,2026-02-03
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,NIFTY100,2026-02-03
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,NIFTY100,2026-02-03
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,NIFTY100,2026-02-03
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,NIFTY100,2026-02-03
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,NIFTY100,2026-02-03
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,NIFTY100,2026-02-03
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,NIFTY100,2026-02-03
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,NIFTY100,2026-02-03
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,NIFTY100,2026-02-03
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,NIFTY100,2026-02-03
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,NIFTY100,2026-02-03
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,NIFTY100,2026-02-03
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,NIFTY100,2026-02-03
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,NIFTY100,2026-02-03
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,NIFTY100,2026-02-03
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,NIFTY100,2026-02-03
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,NIFTY100,2026-02-03
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,NIFTY100,2026-02-03
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,NIFTY100,2026-02-03
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,NIFTY100,2026-02-03
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,NIFTY100,2026-02-03
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,NIFTY100,2026-02-03
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,NIFTY100,2026-02-03
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,NIFTY100,2026-02-03
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,NIFTY100,2026-02-03
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,NIFTY100,2026-02-03
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,NIFTY100,2026-02-03
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,NIFTY100,2026-02-03
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,NIFTY100,2026-02-03
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,NIFTY100,2026-02-03
